Name,Place,Date,Link,Rating,Tags,Musicians
KISSTORY on Blackheath Festival,London,29th Jul 2023,https://www.skiddle.com/festivals/kisstoryfestival/,4,"['UK Garage', 'R&B', 'Old Skool', 'Hip Hop', 'Retro']","{'Andy Purnell': 'https://www.skiddle.com/artists/Andy-Purnell-123560422/', 'Artful Dodger': 'https://www.skiddle.com/artists/Artful-Dodger-123488786/', 'Baby D': 'https://www.skiddle.com/artists/Baby-D-123488142/', 'Big Brovaz': 'https://www.skiddle.com/artists/Big-Brovaz-123517698/', 'Booty Luv': 'https://www.skiddle.com/artists/Booty-Luv-123461414/', 'Creed': 'https://www.skiddle.com/artists/Creed-123470467/', 'DJ Luck & MC Neat': 'https://www.skiddle.com/artists/DJ-Luck-&-MC-Neat-123461052/', 'DJ Pied Piper': 'https://www.skiddle.com/artists/DJ-Pied-Piper-123482790/', 'DJ Pioneer': 'https://www.skiddle.com/artists/DJ-Pioneer-123500472/', 'DJ Rick Live': 'https://www.skiddle.com/artists/DJ-Rick-Live-123555573/', 'Damage': 'https://www.skiddle.com/artists/Damage-123554182/', 'Danny Blaze': 'https://www.skiddle.com/artists/Danny-Blaze-123580044/', 'General Levy': 'https://www.skiddle.com/artists/General-Levy-123508702/', 'Hyperactive MC': 'https://www.skiddle.com/artists/Hyperactive-MC-123586661/', 'Kathy Brown': 'https://www.skiddle.com/artists/Kathy-Brown-123542480/', 'Lisa Maffia': 'https://www.skiddle.com/artists/Lisa-Maffia-123529564/', 'MC ROMEO': 'https://www.skiddle.com/artists/MC-ROMEO-123542768/', 'Majestic': 'https://www.skiddle.com/artists/Majestic-123533308/', 'Matt Jam Lamont': 'https://www.skiddle.com/artists/Matt-Jam-Lamont-123496982/', 'Ms Dynamite': 'https://www.skiddle.com/artists/Ms-Dynamite-123460111/', 'Oxide & Neutrino': 'https://www.skiddle.com/artists/Oxide-&-Neutrino-123534274/', 'PSG': 'https://www.skiddle.com/artists/PSG-123530264/', 'Phats & Small': 'https://www.skiddle.com/artists/Phats-&-Small-123549519/', 'Richie Dan': 'https://www.skiddle.com/artists/Richie-Dan-123561896/', 'Robin S.': 'https://www.skiddle.com/artists/Robin-S.-123531038/', 'Rozalla': 'https://www.skiddle.com/artists/Rozalla-123465659/', 'SWEET FEMALE ATTITUDE': 'https://www.skiddle.com/artists/SWEET-FEMALE-ATTITUDE-123517002/', 'Sabrina Washington': 'https://www.skiddle.com/artists/Sabrina-Washington-123574635/', 'Scott Garcia': 'https://www.skiddle.com/artists/Scott-Garcia-123496984/', 'Shola Ama': 'https://www.skiddle.com/artists/Shola-Ama-123491006/', 'Steve Smart': 'https://www.skiddle.com/artists/Steve-Smart-123505846/', 'Technotronic': 'https://www.skiddle.com/artists/Technotronic-123553673/', 'Unknown MC': 'https://www.skiddle.com/artists/Unknown-MC-123579418/', 'DJ MK': None, 'Dan Da Man': None, 'Dixon Brothers': None, 'Jake Thomson': None, 'Martin 2 Smoove': None, 'Matchstick': None, 'Shortee Blitz': None, 'Tinea Taylor': None, 'Tippa': None, 'Tyler West': None, 'UK Apache - Original Nuttah': None, 'Valerie': None}"
Noughty 90s Festival Newcastle,Newcastle,26th - 27th Aug 2023,https://www.skiddle.com/festivals/noughty-90s-festival-newcastle/,4,[None],"{'Big Brovaz': 'https://www.skiddle.com/artists/Big-Brovaz-123517698/', 'Black Box': 'https://www.skiddle.com/artists/Black-Box-123571572/', ""Blazin' Squad"": ""https://www.skiddle.com/artists/Blazin'-Squad-123555067/"", 'Booty Luv': 'https://www.skiddle.com/artists/Booty-Luv-123461414/', 'D:Ream': 'https://www.skiddle.com/artists/D:Ream-123501842/', 'DJ Ironik': 'https://www.skiddle.com/artists/DJ-Ironik-123487596/', 'DJ Sammy': 'https://www.skiddle.com/artists/DJ-Sammy-123552339/', 'Damage': 'https://www.skiddle.com/artists/Damage-123554182/', 'Eric Martin': 'https://www.skiddle.com/artists/Eric-Martin-123576489/', 'Five': 'https://www.skiddle.com/artists/Five-123509382/', 'Kelly Llorenna': 'https://www.skiddle.com/artists/Kelly-Llorenna-123507426/', ""Livin' Joy"": ""https://www.skiddle.com/artists/Livin'-Joy-123523256/"", 'SWEET FEMALE ATTITUDE': 'https://www.skiddle.com/artists/SWEET-FEMALE-ATTITUDE-123517002/', 'Shades Of Rhythm': 'https://www.skiddle.com/artists/Shades-Of-Rhythm-123488988/', 'Strike': 'https://www.skiddle.com/artists/Strike-123518860/', 'Technotronic': 'https://www.skiddle.com/artists/Technotronic-123553673/', 'Tinchy Stryder': 'https://www.skiddle.com/artists/Tinchy-Stryder-959251/', 'Ultrabeat': 'https://www.skiddle.com/artists/Ultrabeat-123460049/', '90s Explosion': None, 'Jay Stone': None, 'Joe Sensation': None, 'N-Force': None, 'Shocka': None}"
Leeds Festival,"Bramham Park, Leeds, West Yorkshire",25th - 27th Aug 2023,https://www.skiddle.com/festivals/Leeds/,4,"['Rock', 'Jazz', 'Indie', 'Metal', 'Rap', 'Hip Hop', 'Alternative', 'Punk', 'Disco']","{'Andy C': 'https://www.skiddle.com/artists/Andy-C-123457009/', 'Don Broco': 'https://www.skiddle.com/artists/Don-Broco-123522510/', 'Eliza Rose': 'https://www.skiddle.com/artists/Eliza-Rose-123562092/', 'Lovejoy': 'https://www.skiddle.com/artists/Lovejoy-123582890/', 'Muna': 'https://www.skiddle.com/artists/Muna-123567755/', 'Shy FX': 'https://www.skiddle.com/artists/Shy-FX-123468608/', 'Songer': 'https://www.skiddle.com/artists/Songer-123584284/', 'The Snuts': 'https://www.skiddle.com/artists/The-Snuts-123560118/'}"
Kendal Calling ,"Lowther Deer Park, nr Penrith, Cumbria",27th - 30th Jul 2023,https://www.skiddle.com/festivals/kendal-calling/,4,"['House', 'Rock', 'Pop', 'Indie', 'Alternative']","{'A.Skillz': 'https://www.skiddle.com/artists/A.Skillz-123484804/', 'Alice Merton': 'https://www.skiddle.com/artists/Alice-Merton-123558509/', 'Amy True': 'https://www.skiddle.com/artists/Amy-True-123537310/', 'Annie Mac': 'https://www.skiddle.com/artists/Annie-Mac-975565/', 'BKLAVA': 'https://www.skiddle.com/artists/BKLAVA-123576571/', 'Baby Vanga': 'https://www.skiddle.com/artists/Baby-Vanga-123575421/', 'Black Honey': 'https://www.skiddle.com/artists/Black-Honey-123540640/', 'Blossoms': 'https://www.skiddle.com/artists/Blossoms-123538874/', 'Calum Bowie': 'https://www.skiddle.com/artists/Calum-Bowie-123582899/', 'Cassia': 'https://www.skiddle.com/artists/Cassia-123553055/', 'Chic': 'https://www.skiddle.com/artists/Chic-123500644/', 'Chris Hawkins': 'https://www.skiddle.com/artists/Chris-Hawkins-123583585/', 'Circa Waves': 'https://www.skiddle.com/artists/Circa-Waves-123546642/', 'Confidence Man': 'https://www.skiddle.com/artists/Confidence-Man-123577985/', 'Connie Constance': 'https://www.skiddle.com/artists/Connie-Constance-123558625/', 'Connor Fyfe': 'https://www.skiddle.com/artists/Connor-Fyfe-123569322/', 'Courting': 'https://www.skiddle.com/artists/Courting-123572771/', 'DJ Jools': 'https://www.skiddle.com/artists/DJ-Jools-123534264/', 'DJ Yoda': 'https://www.skiddle.com/artists/DJ-Yoda-123458214/', 'Deja Vega': 'https://www.skiddle.com/artists/Deja-Vega-123530280/', 'Example': 'https://www.skiddle.com/artists/Example-123456864/', 'Fleetmac Wood': 'https://www.skiddle.com/artists/Fleetmac-Wood-123564744/', 'Frank Turner': 'https://www.skiddle.com/artists/Frank-Turner-957448/', ""George O'Hanlon"": ""https://www.skiddle.com/artists/George-O'Hanlon-123573786/"", 'Gina Breeze': 'https://www.skiddle.com/artists/Gina-Breeze-123548348/', 'Happy Mondays': 'https://www.skiddle.com/artists/Happy-Mondays-123457929/', 'Hardwicke Circus': 'https://www.skiddle.com/artists/Hardwicke-Circus-123550022/', 'JFB': 'https://www.skiddle.com/artists/JFB-123487676/', 'Jaguar Skills': 'https://www.skiddle.com/artists/Jaguar-Skills-123458286/', 'Jon DaSilva': 'https://www.skiddle.com/artists/Jon-DaSilva-123527520/', 'KT Tunstall': 'https://www.skiddle.com/artists/KT-Tunstall-940611/', 'Kaiser Chiefs': 'https://www.skiddle.com/artists/Kaiser-Chiefs-123486702/', 'Kiefer Sutherland': 'https://www.skiddle.com/artists/Kiefer-Sutherland-123561324/', 'Krafty Kuts': 'https://www.skiddle.com/artists/Krafty-Kuts-123457249/', 'Little Thief': 'https://www.skiddle.com/artists/Little-Thief-123563328/', 'Lizzie Esau': 'https://www.skiddle.com/artists/Lizzie-Esau-123573181/', 'Lottery Winners': 'https://www.skiddle.com/artists/Lottery-Winners-123509258/', 'Lowes': 'https://www.skiddle.com/artists/Lowes-123559603/', 'Matilda Mann': 'https://www.skiddle.com/artists/Matilda-Mann-123579644/', 'Melanie C': 'https://www.skiddle.com/artists/Melanie-C-123553033/', 'Mike Skinner': 'https://www.skiddle.com/artists/Mike-Skinner-123512452/', 'Natalie Imbruglia': 'https://www.skiddle.com/artists/Natalie-Imbruglia-123512222/', 'Newton Faulkner': 'https://www.skiddle.com/artists/Newton-Faulkner-951968/', 'Nile Rodgers': 'https://www.skiddle.com/artists/Nile-Rodgers-123515808/', 'October Drift': 'https://www.skiddle.com/artists/October-Drift-123550303/', 'Panic Shack': 'https://www.skiddle.com/artists/Panic-Shack-123580149/', 'Paul Woolford': 'https://www.skiddle.com/artists/Paul-Woolford-123467179/', 'Prima Queen': 'https://www.skiddle.com/artists/Prima-Queen-123582035/', 'Rachel Chinouriri': 'https://www.skiddle.com/artists/Rachel-Chinouriri-123583265/', 'Reverend And The Makers': 'https://www.skiddle.com/artists/Reverend-And-The-Makers-123461413/', 'Rick Astley': 'https://www.skiddle.com/artists/Rick-Astley-123466063/', 'Riding The Low': 'https://www.skiddle.com/artists/Riding-The-Low-123517070/', 'Royal Blood': 'https://www.skiddle.com/artists/Royal-Blood-123524266/', 'Scouting for Girls': 'https://www.skiddle.com/artists/Scouting-for-Girls-955394/', ""Somebody's Child"": ""https://www.skiddle.com/artists/Somebody's-Child-123569985/"", 'Soup!': 'https://www.skiddle.com/artists/Soup!-123576175/', 'Spector': 'https://www.skiddle.com/artists/Spector-123505400/', 'Swim Deep': 'https://www.skiddle.com/artists/Swim-Deep-123506012/', 'Tess Parks': 'https://www.skiddle.com/artists/Tess-Parks-123566176/', 'The Amazons': 'https://www.skiddle.com/artists/The-Amazons-123552140/', 'The Enemy': 'https://www.skiddle.com/artists/The-Enemy-950323/', 'The Hunna': 'https://www.skiddle.com/artists/The-Hunna-123548654/', 'The Institutes': 'https://www.skiddle.com/artists/The-Institutes-123577866/', 'The Lancashire Hotpots': 'https://www.skiddle.com/artists/The-Lancashire-Hotpots-978802/', 'The Lathums': 'https://www.skiddle.com/artists/The-Lathums-123567911/', 'The Mary Wallopers': 'https://www.skiddle.com/artists/The-Mary-Wallopers-123574492/', 'The Murder Capital': 'https://www.skiddle.com/artists/The-Murder-Capital-123573986/', 'Tim Burgess': 'https://www.skiddle.com/artists/Tim-Burgess-123507922/', 'Vistas': 'https://www.skiddle.com/artists/Vistas-123555951/', 'We Are Scientists': 'https://www.skiddle.com/artists/We-Are-Scientists-123461922/', 'Will Joseph Cook': 'https://www.skiddle.com/artists/Will-Joseph-Cook-123548684/', 'kasabian': 'https://www.skiddle.com/artists/kasabian-123460267/', 'CATE': None, 'CEITIDH MAC': None, 'Chappaqua Wrestling': None, 'Corella': None, 'DICK & DOM': None, 'Deadletter': None, 'Ellie Dixon': None, 'Etta Marcus': None, 'FFSYTHO': None, 'FOXTRAP': None, 'Jetski': None, 'Lime Garden': None, 'MELONYX': None, 'Midnight Rodeo': None, 'Nell Mescal': None, 'SAD NIGHT DYNAMITE': None, 'THE KUNDALINI GENIE': None, 'TIM PEAKS FM': None, 'Wings Of Desire': None}"
Summer Sound Music Festival,Guisborough ,28th - 30th Jul 2023,https://www.skiddle.com/festivals/north-east-summer-sound/,4.5,"['Rock', 'Pop', '80s', '70s', 'Indie Pop']","{'Alecia Karr as Pink': 'https://www.skiddle.com/artists/Alecia-Karr-as-Pink-123553423/', 'Craig Harrison as Michael Jackson': 'https://www.skiddle.com/artists/Craig-Harrison-as-Michael-Jackson-123553422/', 'Flash - A Queen Tribute': 'https://www.skiddle.com/artists/Flash---A-Queen-Tribute-123509342/', 'Homegrown UB 40 Tribute': 'https://www.skiddle.com/artists/Homegrown-UB-40-Tribute-123531162/', 'Tasha Leaper as Madonna': 'https://www.skiddle.com/artists/Tasha-Leaper-as-Madonna-123553424/', ""The Jam'd"": ""https://www.skiddle.com/artists/The-Jam'd-123547606/""}"
Kubix Festival - Pop & Dance,Sunderland,15th Jul 2023,https://www.skiddle.com/festivals/kubix-festival/,4,"['Pop', '90s']","{'Ultrabeat': 'https://www.skiddle.com/artists/Ultrabeat-123460049/', 'N-Trance': 'https://www.skiddle.com/artists/N-Trance-123487290/', '911 Band': 'https://www.skiddle.com/artists/911-Band-123545528/', 'Five (5ive)': 'https://www.skiddle.com/artists/Five-(5ive)-123559855/', 'A1': 'https://www.skiddle.com/artists/A1-123569033/', 'Betty Boo': 'https://www.skiddle.com/artists/Betty-Boo-123576833/', 'Sugababes': 'https://www.skiddle.com/artists/Sugababes-123467182/', 'Blue': 'https://www.skiddle.com/artists/Blue-123494328/', 'JX': 'https://www.skiddle.com/artists/JX-123580584/'}"
Reading Festival,"Little Johns Farm, Richfield Avenue, Reading, Berks",25th - 27th Aug 2023,https://www.skiddle.com/festivals/Reading/,4,"['Dancehall', 'Indie', 'Hip Hop', 'Blues', 'Ska', 'Acoustic', 'Alternative', 'Punk', 'Disco']","{'Meekz': 'https://www.skiddle.com/artists/Meekz-123584279/', 'Nessa Barrett': 'https://www.skiddle.com/artists/Nessa-Barrett-123582862/', 'Tion Wayne': 'https://www.skiddle.com/artists/Tion-Wayne-123552709/', 'You Me At Six': 'https://www.skiddle.com/artists/You-Me-At-Six-958717/'}"
Revival 5th Birthday Weekender Festival,Maidstone,14th - 15th Jul 2023,https://www.skiddle.com/festivals/revival-in-the-park/,4,"['House', 'Trance', 'Drum n Bass', 'Hard Trance', 'Hard Dance']","{'Jaguar Skills': 'https://www.skiddle.com/artists/Jaguar-Skills-123458286/', 'Dave Pearce': 'https://www.skiddle.com/artists/Dave-Pearce-123460562/', 'Artful Dodger': 'https://www.skiddle.com/artists/Artful-Dodger-123488786/', 'Todd Terry': 'https://www.skiddle.com/artists/Todd-Terry-123460834/', 'Matt Jam Lamont': 'https://www.skiddle.com/artists/Matt-Jam-Lamont-123496982/', 'Oxide & Neutrino': 'https://www.skiddle.com/artists/Oxide-&-Neutrino-123534274/', 'Jilted Generation': 'https://www.skiddle.com/artists/Jilted-Generation-123543767/', 'Flip N Fill': 'https://www.skiddle.com/artists/Flip-N-Fill-123500080/', 'Jameson & Viper': 'https://www.skiddle.com/artists/Jameson-&-Viper-123580045/', 'DJ Redhot': 'https://www.skiddle.com/artists/DJ-Redhot-123556545/', 'DJ Bugzee': 'https://www.skiddle.com/artists/DJ-Bugzee-123579421/', 'MC Preshus': None}"
Victorious Festival,"Southsea Common, Portsmouth",25th - 27th Aug 2023,https://www.skiddle.com/festivals/Victorious-Festival/,,"['Pop', 'Indie', 'Indie Pop']","{'Amyl & The Sniffers': 'https://www.skiddle.com/artists/Amyl-&-The-Sniffers-123565941/', 'Beabadoobee': 'https://www.skiddle.com/artists/Beabadoobee-123573982/', 'Crawlers': 'https://www.skiddle.com/artists/Crawlers-123566553/', 'Dylan': 'https://www.skiddle.com/artists/Dylan-123569971/', 'Inspiral Carpets': 'https://www.skiddle.com/artists/Inspiral-Carpets-123540772/', 'Jamiroquai': 'https://www.skiddle.com/artists/Jamiroquai-123461548/', 'Katy B': 'https://www.skiddle.com/artists/Katy-B-1074874/', 'Modernlove.': 'https://www.skiddle.com/artists/Modernlove.-123583266/', 'Newton Faulkner': 'https://www.skiddle.com/artists/Newton-Faulkner-951968/', 'Sigrid': 'https://www.skiddle.com/artists/Sigrid-123552522/', 'The Coral': 'https://www.skiddle.com/artists/The-Coral-766672/', 'The Divine Comedy': 'https://www.skiddle.com/artists/The-Divine-Comedy-123549884/', 'The Enemy': 'https://www.skiddle.com/artists/The-Enemy-950323/', 'The Vaccines': 'https://www.skiddle.com/artists/The-Vaccines-123483058/', 'Wunderhouse': None}"
Belladrum Tartan Heart Festival,"Beauly, Near Inverness",27th - 29th Jul 2023,https://www.skiddle.com/festivals/belladrum/,4.5,"['Pop', 'Indie Pop', 'Pop Rock']","{'Bombskare': 'https://www.skiddle.com/artists/Bombskare-123499848/', 'Dead Pony': 'https://www.skiddle.com/artists/Dead-Pony-123579433/', 'Elephant Sessions': 'https://www.skiddle.com/artists/Elephant-Sessions-123546614/', 'Feis Rois Ceilidh Trail': 'https://www.skiddle.com/artists/Feis-Rois-Ceilidh-Trail-123579665/', 'Fiddle Forte': 'https://www.skiddle.com/artists/Fiddle-Forte-123579664/', 'Kiefer Sutherland': 'https://www.skiddle.com/artists/Kiefer-Sutherland-123561324/', 'Nati Dreddd': 'https://www.skiddle.com/artists/Nati-Dreddd-123583696/', 'Peat & Diesel': 'https://www.skiddle.com/artists/Peat-&-Diesel-123571159/', 'Punk Rock Factory': 'https://www.skiddle.com/artists/Punk-Rock-Factory-123583492/', 'Rachel Sermanni': 'https://www.skiddle.com/artists/Rachel-Sermanni-123529542/', 'Rhythmnreel': 'https://www.skiddle.com/artists/Rhythmnreel-123563606/', 'Sam Ryder': 'https://www.skiddle.com/artists/Sam-Ryder-123577387/', 'Sigrid': 'https://www.skiddle.com/artists/Sigrid-123552522/', 'Skerryvore': 'https://www.skiddle.com/artists/Skerryvore-123484574/', 'The Bluebells': 'https://www.skiddle.com/artists/The-Bluebells-123485060/', 'The Dangleberries': 'https://www.skiddle.com/artists/The-Dangleberries-123485066/', 'The Mary Wallopers': 'https://www.skiddle.com/artists/The-Mary-Wallopers-123574492/', 'Tom McGuire & The Brassholes': 'https://www.skiddle.com/artists/Tom-McGuire-&-The-Brassholes-123563605/', 'Torridon': 'https://www.skiddle.com/artists/Torridon-123517170/', 'Travis': 'https://www.skiddle.com/artists/Travis-123500758/', 'Blood Harmony': None, 'Calum Macphail Band': None, 'Dylan Tierney': None, 'Howlin Ric': None, 'Into The Pines': None, 'Isaac Birituro': None, 'Riddemption': None, 'Rory Butler': None}"
